Algorithm,Run,Fitness,Latency (ms),Energy (J),CPU Utilization (%)
Enhanced CSO,1,1.0421048266159882,1532.269724657384,30.685747955389445,22.909872852180136
Enhanced CSO,2,0.853390361909622,1225.825968469232,29.473695207020693,9.998414793808074
Enhanced CSO,3,0.8361392377824749,1238.5877034756613,23.246653924269523,26.825667825267434
Enhanced CSO,4,1.1660507263774866,1784.0197813782158,23.909714387639266,19.964731229129086
Enhanced CSO,5,0.9045078905517013,1309.2054373000133,29.746157042923343,31.939862760412623
Enhanced CSO,6,0.6374750284244631,876.0787663207897,27.956942157997357,18.973425269543178
Enhanced CSO,7,0.6878205932919579,994.5475704205946,22.7730127599003,18.71908909084082
Enhanced CSO,8,0.852103298779079,1229.4594053408532,28.60691389364177,12.438664470971371
Enhanced CSO,9,1.0337407482165037,1568.3170605461307,23.18762797220635,15.192355632044743
Enhanced CSO,10,0.7259260418455006,1042.8167388129964,25.058999639425696,11.865699183809765
Enhanced CSO,11,0.9500632237829805,1378.8011067933758,30.69563992673875,7.755473998259078
Enhanced CSO,12,0.46279148280380467,594.3217834275607,26.549603186817066,17.691720023310577
Enhanced CSO,13,0.7060935225034364,1007.0399371042691,25.46739006021871,17.70308518321001
Enhanced CSO,14,1.3754627630159852,2128.9270632032917,24.52663127350257,16.240061171171636
Enhanced CSO,15,0.8790772901643906,1286.8145419212142,26.747141252915508,17.68196630229823
Enhanced CSO,16,0.5959736746885183,774.9235795386026,32.75488174133919,15.178068457712529
Enhanced CSO,17,1.203601076732358,1789.7476554268148,32.43812086906729,9.951982011640379
Enhanced CSO,18,0.9218689476777824,1348.6533226251152,28.169238525678306,18.82586082301031
Enhanced CSO,19,0.7577860436286837,1052.0882293675875,31.63327650203281,17.92454053469591
Enhanced CSO,20,0.8790376126547977,1275.7929468944305,28.390461129534856,15.90461438849497
Enhanced CSO,21,0.9795347053000852,1434.2107895133527,29.752057898018403,15.821025109465959
Enhanced CSO,22,0.49322211030777247,649.471815499714,25.88475525198602,10.792177929943046
Enhanced CSO,23,0.7280251001083855,1039.7071746507877,26.05019882947821,13.855214634491494
Enhanced CSO,24,0.7764318881837389,1146.0526769842882,22.200070498291467,20.151544337836675
Enhanced CSO,25,0.5628247939520479,768.3998869929637,25.4462154390674,13.179466466971776
Enhanced CSO,26,0.8615911601410556,1261.669105614607,26.147424193072872,23.67792843166
Enhanced CSO,27,0.5982085606630679,821.6076436679995,26.31099361556708,11.184782108988651
Enhanced CSO,28,0.7371806127295881,1033.175029304185,29.318898786769257,13.734523317775787
Enhanced CSO,29,0.9356152009476639,1368.7550067048842,28.590549231183378,30.66403994843647
Enhanced CSO,30,0.4460566688915375,553.3715806822916,28.508430120540652,12.000939005731022
Standard CSO,1,1.623279801822715,2476.8156496480374,34.29760300847317,9.676727886559174
Standard CSO,2,3.3913411929736204,5385.445866139654,40.01841832245701,6.226415160564006
Standard CSO,3,1.0643704403932643,1605.0067232011147,25.3416016181489,19.22947363349892
Standard CSO,4,2.268726918713208,3613.6848310228706,25.129005024871514,12.765601451669658
Standard CSO,5,2.469506307498659,3854.8223482910475,39.15322463100771,8.01914681620839
Standard CSO,6,1.5752004153752526,2410.458100757284,32.23138873022065,11.968827509788321
Standard CSO,7,1.7365454737597827,2725.745418463964,25.274555670351106,11.77492268741161
Standard CSO,8,2.145513668373565,3346.192568606248,34.44953180245419,10.92993814594013
Standard CSO,9,2.222079100549174,3546.402831122266,23.55935046895356,8.493468244299283
Standard CSO,10,1.8781661946080082,2933.804969291108,29.470803258335824,5.48040961416995
Standard CSO,11,1.759498282665977,2691.948494679337,36.082296464593796,11.48265427989896
Standard CSO,12,1.4209484479285552,2165.404660859033,30.426412853283896,15.052486089160391
Standard CSO,13,1.7678961567144134,2758.6446998273077,28.177334204507222,12.428944139900604
Standard CSO,14,2.9315304453845803,4624.056881242019,39.27407915984243,7.576051649388408
Standard CSO,15,1.8886308464884165,2914.7031052925977,34.95224582821447,8.8976384739416
Standard CSO,16,1.4337451084249317,2169.9464706771596,32.944306504659004,4.054923303904631
Standard CSO,17,3.146766791664884,5012.925265238701,34.752908130415726,1.327145185505658
Standard CSO,18,1.885839503758812,2942.2810812977596,30.117713745039076,7.59906236778936
Standard CSO,19,1.3143967530612157,1936.9390661620748,38.05832834099269,21.054934690393726
Standard CSO,20,1.3209085718477536,2015.3470665329874,27.92508298199029,15.341125771876888
Standard CSO,21,1.4036793674471462,2107.636712956868,34.77433491825633,9.968318685088398
Standard CSO,22,1.649645289206494,2532.505623843397,32.53547872511385,9.428391424252535
Standard CSO,23,2.079301009339408,3200.3811850541615,39.768074576727805,8.166300370797924
Standard CSO,24,1.675734907437281,2609.2929901961566,27.539778329896734,11.085499534638195
Standard CSO,25,1.3067000247940324,1982.423164108087,29.311531582295018,9.929081298216154
Standard CSO,26,1.315300632146346,1987.7814933830268,30.657934029132484,12.70368062563233
Standard CSO,27,1.9303172302390386,2988.3702845599905,34.32376487576109,8.704298772656042
Standard CSO,28,1.6833822823832676,2573.2379340512052,34.859880488136135,14.481667251857006
Standard CSO,29,1.6042878214324912,2474.0966669655118,29.957455313296073,23.44054477589049
Standard CSO,30,3.454104388274663,5490.598880762134,39.93626495434562,2.8106460297796785
PSO,1,1.9920806723518911,3082.72958345089,35.61073057033931,15.614856812415038
PSO,2,3.4045191167531756,5352.585407900413,48.24196800323189,11.522510415490258
PSO,3,1.61107762950427,2500.7613281847002,27.655208148362497,16.347423116623855
PSO,4,1.2707679067384632,1943.0783524574836,26.23022381599325,20.11598984880589
PSO,5,2.4710419696174353,3854.8223482910475,39.537140160701746,8.918452397109187
PSO,6,1.7424635780186741,2694.5622587950165,31.43155568541608,13.060296224792303
PSO,7,1.8171495415822407,2782.9996405782026,36.837439308829744,15.190210219277004
PSO,8,2.1168411776086824,3292.0093158985164,35.408897017393144,14.929744574587916
PSO,9,1.9021119998335583,3015.52650037755,23.199024901757088,9.43566176778043
PSO,10,1.9177526219293397,3006.3514470335167,28.485438427307464,11.790938301816166
PSO,11,2.716849925797099,4274.3120063031065,38.06568050380875,9.165036767749807
